x,y,z
-0.250920,0.901429,0.0
0.463988,0.197317,0.0
-0.687963,-0.688011,0.0
-0.883833,0.732352,0.0
0.202230,0.416145,0.0
-0.958831,0.939820,0.0
0.664885,-0.575322,0.0
-0.636350,-0.633191,0.0
-0.391516,0.049513,0.0
-0.136110,-0.417542,0.0
0.223706,-0.721012,0.0
-0.415711,-0.267276,0.0
-0.087860,0.570352,0.0
-0.600652,0.028469,0.0
0.184829,-0.907099,0.0
0.215090,-0.658952,0.0
-0.869897,0.897771,0.0
0.931264,0.616795,0.0
-0.390772,-0.804656,0.0
0.368466,-0.119695,0.0
-0.755924,-0.009646,0.0
-0.931223,0.818641,0.0
-0.482440,0.325045,0.0
-0.376578,0.040136,0.0
0.093421,-0.630291,0.0 
